#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
1581557	1044000	1567000	1308308	8
1583098	1902000	2854000	2378155	11
1602169	2508000	3764000	3136063	5
1604335	3508000	5263000	4320948	6
1605838	3873000	5811000	4843030	4
1607738	1989000	2985000	2499478	8
1607945	25785000	77357000	51571305	4
1608994	3918000	5878000	4898246	4
1608996	4268000	7623000	5945441	17
1615674	5250000	7876000	6562687	33
1617283	4373000	6560000	5466622	4
1619313	3580000	5371000	4475612	7
1623583	24264000	36397000	30192982	4
1628085	2100000	4638000	3369078	5
1628248	2254000	3382000	2817934	5
1633631	1643000	2811000	2227092	7
1637837	5696000	8545000	7120357	4
1639133	4097000	6147000	5108671	84
1641875	3483000	5226000	4354432	4
1642299	6622000	9935000	8278595	5
1642515	1584	2377	1981	6
1643429	1357000	2037000	1749000	4
1646377	4150000	6226000	5168157	10
1648923	3496000	5245000	4371303	101
1650663	1890000	5671000	3780471	4
1653434	2615000	3924000	3266211	16
1653831	505000	759000	630169	49
1653868	105613000	316841000	212054102	27
1654388	2214000	3322000	2761069	9
1655500	1285000	1929000	1607103	15
1658174	26116000	39175000	32645650	14
1664069	3727000	5592000	4633454	8
1678143	5778	8667	7215	10
1678144	5322	7983	6653	4
1678145	5531	8296	6959	5
1684324	16512000	29175000	22843419	37
1686310	2080000	3122000	2602147	6
1689834	1921000	3111000	2516101	8
1697053	1901000	2853000	2377259	7
1702221	1954000	2932000	2429488	4
1708541	7797000	11697000	9747171	26
1708715	5370000	8056000	6712663	6
1714619	7104	11000	8880	5
1720200	2670000	4006000	3338033	4
1720313	2391000	3588000	2989356	6
1737424	2777000	4207000	3546954	24
1745713	3373000	5061000	4211146	5
1748967	3542000	6261000	4901756	27
1755588	7216	12000	9264	6
1756149	3503000	5255000	4350740	8
1756150	3373000	5061000	4233383	8
1763883	3732000	5599000	4665036	7
1765683	2479000	3720000	3099510	4
1775910	5310000	7966000	6637791	6
1776384	3502000	5254000	4377566	6
1776740	2836000	4256000	3584994	4
1776741	3481000	5223000	4351702	4
1778540	4004000	6007000	5032438	13
1780362	1654000	2482000	2067770	4
1785128	3200000	4700000	3950000	16
1785145	5117000	7677000	6296075	5
1796613	3840000	5761000	4800416	7
1796616	4102000	6155000	5128614	4
1796620	3042000	4564000	3731998	4
1796635	2569000	3855000	3212063	7
1796646	2627000	3942000	3287612	11
1803956	5877	8816	7347	9
1803957	3747	12000	7542	6
1812935	4100000	6100000	5100000	290
1813019	1211000	1818000	1514446	33
1813611	4088000	6134000	5176605	4
1818881	3573000	5360000	4484736	4
1821750	6434	9730	8082	14
1821960	3409000	5115000	4286356	7
1839785	2326000	3490000	2907896	5
1841856	2616000	4986000	3801097	4
1841867	1859000	3219000	2539005	4
1843581	3858000	5788000	4741646	21
1848903	2173000	3260000	2716283	9
1848904	2265000	3398000	2831719	4
1851006	25754000	38632000	32193229	5
1851181	28265000	42399000	35332378	5
1855823	1756000	2636000	2216765	15
1868221	1156	2844	2000	249
1868870	33628000	62952000	49056238	5
1870820	5582000	8374000	6977711	12
1870988	1611000	4835000	3222781	8
1872678	3813000	5721000	4766895	5
1879050	3177000	4767000	3998902	4
1882269	15683000	47052000	31367840	5
1884905	1060000	1592000	1326005	4
1885674	3869000	5805000	4797100	4
1890302	4470000	6706000	5598437	179
1890683	29293000	87881000	58587016	57
1891097	2056000	3086000	2571019	4
1891763	4130	6195	5163	6
1897087	7028	11000	8786	13
1899430	1159000	1740000	1460006	21
1903056	1948000	2923000	2435770	6
1904463	2546000	4525000	3535370	4
1905730	4017000	6027000	5030841	35
1906744	1995000	2994000	2496557	7
1906745	1537000	2714000	2125567	4
1907654	1570000	2356000	1962716	4
1908198	2757000	4137000	3446824	12
1911678	7587000	22762000	15174477	20
1914019	196000	295000	245446	4
1914160	135000	203000	169148	5
1914162	135000	203000	169102	4
1914200	133000	200000	167177	5
1914203	134000	203000	168395	6
1914243	4231000	6347000	5284252	9
1917441	1661000	2493000	2085099	24
1917868	4419000	7630000	6024733	4
1921432	660	991	826	1
1921566	3754000	5632000	4692690	4
1922217	875000	1314000	1094672	11
1922242	636	954	795	6
1925020	3691000	5538000	4614405	5
1925021	3448000	5173000	4378465	5
1927127	1786000	3671000	2728202	10
1930695	16014000	24022000	20017741	5
1931275	2111000	3168000	2659758	4
1932927	14000	23000	18338	5
1933179	9824	15000	12280	6
1933274	9791	15000	12239	12
1933309	9750	15000	12188	4
1935204	1497000	2270000	1883443	5
1937702	7089000	10635000	8862334	22
1940621	5141000	7712000	6426528	19
1940636	4786000	7180000	5933769	4
1940789	1569000	2571000	2074468	20
1961679	3607	11000	7215	14
1961681	3641	11000	7283	13
1963032	3233000	4851000	4042022	6
1965231	1346000	2020000	1682981	11
1967781	4169000	8788000	6478651	5
1970738	1990000	2987000	2505125	22
1972867	4076000	6466000	5270666	7
1979527	2018000	3028000	2523206	7
1980523	14000	23000	18464	5
1980527	14000	23000	18637	4
1980528	14000	22000	18036	4
1982626	2361000	3542000	2951468	12
1982628	2000000	3002000	2522073	6
1985254	4002000	6004000	5003036	164
1985326	133000	200000	166376	13
1985354	131000	197000	163764	5
1985356	7391	12000	9239	10
1985363	9023	13000	11279	1
1993859	62000	94000	78262	4
1993865	42000	64000	53198	9
2003502	37000	57000	47157	4
2003505	34000	52000	42594	6
2006585	1521	2282	1902	5
2006980	5182000	7775000	6478509	5
2007306	1643000	2465000	2054160	4
2008380	1222000	1835000	1542971	9
2008762	7519	11000	9399	2
