,Leaf_Area(mm2),Leaf_perimeter_1(mm),Circularity,Leaf Width (mm),Leaf Length (mm),Length to width ratio,Leaf symmetry_horizontal,Leaf symmetry_vertical,Number of indnets in leaf,Mean leaf indent width,mean leaf indent depth,Leaf fresh weight,Leaf dry wieght,Leaf_Area_2 (mm2),Speciofic leaf area,Ldmc ( mgg-1),LMA (gm-2),Chlorophyll content (Spad),Percent nitrogen,percent carbon,Adaxial epidermis cell type,Leaf_thickness,Thickness  of adaxial epidermis,Thickness  of adaxial hypodermis,Adaxial cell depth,Adaxial  hypodermis cell layers,Thickness  of abaxial epidermis,Thickness  of abaxial hypodermis,Abaxial cell depth,Abaxial  hypodermis cell layers,Depth of mesophyll,Dpeth of palisade mesophyll,Depth of spongy mesophyll,Number of stomatal clusters per mm2 of leaf ,Average distance between stomatal clusters,Substomatal chamber width,Substomatal chamber length,Number of stomata in each cluster,Abaxial length of trichomes type 1,Abaxial number of trichomes type 1,Abaxial number of trichome type 2,,Adaxial number of trichomes type 1,Adaxial number of trichome type 2,Width of petiole,Number of central vascular bundles,Number of inner vascular bundles,Number of outer vascular bundles,Length of inner vascular bundle in cross section,Width of inner vascular bundle in cross section,Length of outer vascular bundle in cross section,Width of outer vascular bundle in cross section,Petiole Length,Petiole Width,Length_Leaf_1,Length_Leaf_2,Leaf_width,Stipule_lengthRhizome count,,Number of leaves,Length of rhizome,Width of rhizome
Observation,Area,Perimeter,Circularity,width,Length,l:W,H. Symm,ver.symm ,N._I,I_w_m,I_d_m,Fw (g),Dw 1 (gm),A_2,SLA,Ldmc,LMA,Chlorophyll,%N,%C,peaked_epidermis,leaf_depth,Ad_epi,Ad_hyp,Ad_cell,Ndhc,Ab_epi,Ab_hyp,Ab_cell,Nbhc,meso,dpm,dsm,NscF,Av,sscw,sscl,Nsc,blt1,bNt1,bNt2,dlt1,dNt1,dNt2,wp,Ncvb,Nivb,Novb,Livb,wivb,Lovb,wovb,PetL,PetW,LL1,LL2,LW,StipL,rhiz,N0L,Lrhiz,wrhiz
360_036,11137.9,407.27,87.64,118.02,135.9,1.19,0.63,1.36,21.5,17.16,2.24,5.68,0.252,9577.56,380.06,44.37,26.31,44.73,4,49.5,1,0.51,0.0336,0.1593,0.136,1,0.0367,0.1177,0.154,1,0.165,0.0621,0.0985,86.7,0.26,0.127,0.1192,2.4,1.062,1,0.667,1.209,7,2.333,5.82,0,5,12,0.434,0.1897,0.3143,0.153,225,4.88,85,115,95,22,2,13,17.5,7.95
360_037,5844.63,268.46,81.52,81.69,103.2,1.29,0.71,1.3,17,12.51,1.14,2.16,0.07,3190.58,455.8,32.41,21.94,32.5,3.62,37.52,0,0.53,0.0378,0.2077,0.1673,2,0.0422,0.1137,0.1327,1,0.1126,0.0469,0.0601,118.3,0.17,0.0852,0.0777,2.8,0.907,3,1,0.609,4.667,0.333,5.48,0,6,28,0.3867,0.1627,0.2647,0.1198,90,3.22,50,70,55,8,2,8,7.5,7.95
360_039,3688.48,232.85,81.27,68.9,83.14,1.21,0.92,1.36,13,11.58,1.24,2.68,0.07,4679.89,668.56,26.12,14.96,47,3.52,36.52,0,0.63,0.0581,0.2667,0.1987,1,0.0417,0.1103,0.1557,1,0.1767,0.0908,0.088,65,0.31,0.171,0.1967,3.2,0.834,5.333,1,0.935,1.333,0.667,6.66,0,5,9,0.2857,0.1987,0.283,0.1563,245,7.06,100,130,90,18,4,21,20,8.78
360_040,8613.44,310.9,84.9,98.4,122.24,1.22,0.77,1.26,17.5,13.64,1.35,1.88,0.093,4106.1,441.52,49.47,22.65,37.43,4.05,58,0,0.42,0.032,0.1353,0.1443,1,0.0371,0.0815,0.1347,1,0.132,0.055,0.0607,108.3,0.27,0.1164,0.1149,2.8,0.711,9,3,0.915,1,1,5.03,0,7,15,0.4176,0.1862,0.3068,0.1574,300,6.38,90,130,90,23,5,23,13.33,6.73
360_041,8531.3,353.63,94.37,95.93,113.52,1.17,1.13,0.91,21.5,14.6,1.88,2.67,0.1,4767.86,476.79,37.45,20.97,38.87,4.18,53.09,0,0.59,0.033,0.28,0.18,1,0.0286,0.1115,0.1593,1,0.1273,0.0588,0.0623,108.3,0.27,0.1164,0.1149,2.8,1.147,2,2,0.355,0.333,1.667,5.87,0,4,14,0.703,0.273,0.5133,0.266,290,4.88,100,135,95,17,5,22,13,7.56
360_042,4765.12,261.48,83.94,73.26,97.09,1.34,0.91,0.77,24.5,10.27,1.49,2.08,0.071,4671.36,657.94,34.13,15.2,21.47,3.66,45.76,0,0.56,0.0474,0.2154,0.1313,1,0.0378,0.1119,0.176,1,0.1557,0.0643,0.0793,41.7,0.33,0.1803,0.1705,4.4,2.07,16.333,1,1,0.76,0.667,4.18,0,5,8,0.4827,0.27,0.308,0.1877,190,3.98,60,85,75,7,3,8,8.33,5.02
360_043,12202.75,471.22,82.79,126.74,148.11,1.17,0.9,1.02,26.5,16.31,3.16,5.99,0.279,12416.26,445.03,46.58,22.47,47.47,6.03,61.19,0,0.5,0.02,0.1373,0.1127,1,0.0443,0.1204,0.126,1,0.1075,0.0438,0.071,153.3,0.16,0.08,0.0668,2.2,0.956,24.667,0.333,1.645,2,0,6.02,1,6,31,0.507,0.201,0.304,0.203,300,7.07,125,155,120,28,5,23,16,7.28
360_044,9638.83,375.58,75.44,106.4,147.38,1.38,0.56,1.41,18.5,16.29,1.89,3.45,0.161,7182.85,446.14,46.67,22.41,37.2,3.65,48.65,0,0.52,0.0307,0.2243,0.1263,1,0.0331,0.1065,0.13,1,0.1383,0.0806,0.0584,108.3,0.25,0.1501,0.1553,3.6,1.983,8.667,2,3.543,2.667,1,5.33,0,6,17,0.532,0.2703,0.4297,0.1927,265,7.11,120,155,115,27,5,30,21,7.91
360_045,11370.63,370.64,83.5,113.23,144.48,1.28,0.81,1.16,21,13.76,1.16,3.28,0.14,6799.2,485.66,42.68,20.59,46.9,3.91,45.81,0,0.53,0.0342,0.1873,0.1177,1,0.0346,0.056,0.121,1,0.175,0.0759,0.105,68.3,0.28,0.1189,0.1242,3,1.742,21.333,2.667,0.915,2,1.667,5.64,1,7,18,0.5493,0.2263,0.315,0.175,220,6.84,105,150,110,30,3,16,26.66,8.85
360_046,14729.79,458.14,88.25,132.7,158.87,1.2,1.01,1.1,25,17.88,2.5,6.63,0.254,15670.46,616.95,38.31,16.21,34.8,2.75,34.38,0,0.47,0.0313,0.1393,0.097,2,0.0299,0.0661,0.1053,1,0.08,0.0424,0.064,105,0.21,0.1046,0.0866,3.4,3.33,21,0.333,3.863,4.667,0.333,5.95,1,7,17,0.516,0.2227,0.299,0.1407,225,7.02,120,165,135,28,4,17,23.75,10.33
